fips,TOT_POP,0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,60-69 y/o % of total pop,70-79 y/o % of total pop,80+ y/o % of total pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,MEDHHINC_2018,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total Hospitals (2019),ICU Beds_x,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,Obesity_prevalence,Heart disease_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code
19181,51056,13.03470699,14.76613914,11.88498903,12.81729865,12.59205578,13.22273582,11.17204638,6.759244751,3.750783453,96.5841429,463,0.906847383,167,0.327091821,349,0.683563146,77,0.150814792,688,1.347539956,954,1532,11.5,8.6,2.9,0.1,16.0,4.3,30.4,33.6,31.7,7.1,7.2,78192,2.3,130.2,218.2,84.8,6.9,6.5,1.908850195,0,20.8,19,181,40.9,35.9,5.9,5.7,8.9,2.5,3
19183,22141,13.72115081,13.29659907,11.26417054,11.2957861,11.11060928,13.39596224,12.5649248,7.836141096,5.514656068,96.40485976,273,1.233006639,75,0.338738088,133,0.600695542,23,0.10387968,292,1.318820288,-116,304,13.1,10.3,2.8,0.7,-8.7,8.9,39.3,30.3,21.5,8.8,11.6,65849,2.3,109.6,218.2,84.8,6.9,6.5,0.827794034,0,24.4,19,183,40.5,32.9,7.6,7.3,10.6,3.1,4
19185,6401,13.79471958,13.65411654,10.0921731,10.3577566,9.436025621,12.54491486,13.85720981,9.404780503,6.85830339,97.39103265,35,0.546789564,15,0.234338385,35,0.546789564,1,0.015622559,81,1.265427277,-85,93,14.3,13.5,0.8,-0.2,-13.8,11.1,44.7,31.2,13.0,13.0,22.2,46725,2.7,77.8,218.2,84.8,6.9,6.5,0.239316635,0,29.2,19,185,54.7,42.5,9.8,9.4,13.4,3.7,6
19187,36277,11.80086556,13.58160818,14.45268352,11.27711773,10.48046972,12.95862392,12.88695317,7.42067977,5.140998429,91.40777903,1688,4.653085977,186,0.512721559,451,1.243211952,20,0.05513135,772,2.128070127,-366,2720,11.7,11.5,0.2,1.0,-11.3,9.2,34.1,37.1,19.6,13.7,18.5,52093,3.3,86.7,218.2,84.8,6.9,6.5,1.356302071,8,24.3,19,187,43.2,35.1,7.9,7.7,10.9,3.2,5
19189,10518,11.89389618,13.1298726,11.75128351,10.71496482,10.70545731,12.65449705,14.11865374,8.176459403,6.854915383,95.40787222,178,1.692336946,40,0.380300437,112,1.064841225,2,0.019015022,151,1.435634151,-70,439,10.1,10.3,-0.2,0.2,-6.7,8.2,33.3,36.1,22.4,9.1,13.5,54433,2.6,90.6,218.2,84.8,6.9,6.5,0.393240488,0,29.4,19,189,44.9,35.6,7.8,7.1,10.8,3.2,6
19191,20029,9.226621399,14.61880274,14.4839982,9.651006041,9.93559339,13.58530131,14.05961356,8.277996904,6.161066454,96.96440162,172,0.858754806,26,0.129811773,236,1.178291477,4,0.019971042,170,0.848769285,-102,2001,8.9,9.3,-0.4,0.2,-5.0,5.3,32.7,32.2,29.7,9.8,9.9,61807,2.7,102.9,218.2,84.8,6.9,6.5,0.748831882,0,25.5,19,191,38.3,30.4,7.0,6.2,9.2,2.8,6
19193,102539,14.30285062,14.78656901,13.37637387,12.739543,11.64532519,12.11343976,11.06115722,6.267859059,3.706882259,86.92107393,4106,4.00433006,2915,2.84282078,3061,2.985205629,283,0.275992549,3046,2.970577049,487,2472,14.2,8.8,5.4,1.1,-1.7,13.3,32.2,31.5,23.0,13.8,19.8,60059,2.5,100.0,218.2,84.8,6.9,6.5,3.833664803,33,20.2,19,193,42.3,34.1,6.9,6.9,10.7,3.0,4
19195,7453,11.44505568,11.56581242,11.17670737,11.16328995,11.4584731,14.62498323,14.46397424,8.184623641,5.91708037,96.73956796,74,0.99288877,26,0.348852811,47,0.630618543,2,0.026834832,94,1.261237086,-8,78,10.3,7.6,2.7,0.1,-4.0,7.2,37.2,40.0,15.5,9.8,15.4,58587,2.7,97.5,218.2,84.8,6.9,6.5,0.278648161,0,26.5,19,195,43.7,34.2,7.8,7.2,10.7,3.1,5
19197,12690,12.60047281,13.57762017,9.944838455,10.33096927,10.37037037,12.69503546,14.30260047,8.668242711,7.509850276,96.45390071,132,1.040189125,63,0.496453901,64,0.504334121,29,0.228526399,162,1.276595745,-59,206,12.0,12.3,-0.3,0.2,-4.6,8.2,35.9,38.3,17.7,10.6,17.0,54802,2.6,91.2,218.2,84.8,6.9,6.5,0.474445883,0,29.4,19,197,51.2,38.9,9.2,8.3,12.5,3.6,6
20001,12444,11.57184185,14.14336226,11.2504018,11.34683382,11.2423658,12.80135005,13.45226615,8.526197364,5.665380906,92.98457088,261,2.097396336,122,0.980392157,95,0.763420122,4,0.032144005,391,3.142076503,-74,382,10.3,13.1,-2.7,0.1,-3.1,8.1,34.0,37.5,20.4,18.9,26.8,44423,4.0,76.4,227.6,88.0,6.8,6.3,0.594096867,0,26.5,20,1,50.5,39.6,8.6,8.9,13.6,3.5,6
