fips,TOT_POP,0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,60-69 y/o % of total pop,70-79 y/o % of total pop,80+ y/o % of total pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,MEDHHINC_2018,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total Hospitals (2019),ICU Beds_x,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,Obesity_prevalence,Heart disease_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code
1001,55601,12.20661499,13.73536447,12.37028111,12.74977069,13.63644539,13.91701588,10.47822881,7.284041654,3.62223701,76.72523875,10915,19.63094189,267,0.480207191,681,1.224798115,62,0.111508786,1016,1.827305264,158,455,11.8,9.6,2.2,0.0,0.7,11.3,32.6,28.4,27.7,13.8,19.3,59338,3.6,119.0,217.1,77.2,7.6,6.9,1.148905321,6,19.1,1,1,47.6,35.8,7.9,8.6,12.9,3.1,3
1003,218022,11.35527607,12.3441671,10.81496363,11.56442928,12.53910156,13.75365789,13.72888975,9.602700645,4.296814083,87.2852281,19492,8.940382163,1684,0.772399116,2508,1.150342626,146,0.066965719,3891,1.78468228,5403,2190,10.5,10.3,0.1,0.5,24.3,9.7,27.6,31.3,31.3,9.8,13.9,57588,3.6,115.5,217.1,77.2,7.6,6.9,4.505074295,51,26.3,1,3,40.2,29.7,7.8,8.6,12.0,3.2,4
1005,24881,10.98026607,11.89662795,13.13452032,12.86523854,12.35480889,13.17471163,12.36284715,9.018930107,4.212049355,49.06957116,12042,48.39837627,164,0.659137495,113,0.45416181,46,0.184880029,307,1.233873237,-277,2820,10.4,12.9,-2.5,0.5,-9.1,27.0,35.7,25.1,12.2,30.9,43.9,34382,5.2,68.9,217.1,77.2,7.6,6.9,0.514125884,5,23.5,1,5,57.5,40.7,11.0,12.1,19.7,4.5,6
1007,22400,10.96428571,11.58928571,13.52232143,13.89732143,13.5625,13.90625,11.36160714,7.691964286,3.504464286,76.83482143,4770,21.29464286,98,0.4375,53,0.236607143,26,0.116071429,242,1.080357143,-155,2151,11.1,11.4,-0.3,0.4,-7.0,16.8,47.3,24.4,11.5,21.8,27.8,46064,4.0,92.3,217.1,77.2,7.6,6.9,0.462860006,0,21.1,1,7,51.6,38.7,8.6,10.0,14.1,3.3,2
1009,57840,12.26659751,13.08782849,11.65629322,11.90179806,12.92185339,13.5615491,12.04183956,8.525242047,4.036998617,95.87828492,950,1.642461964,378,0.653526971,185,0.319847856,70,0.121023513,801,1.384854772,13,489,11.8,11.4,0.3,0.1,-0.2,19.8,34.0,33.5,12.6,13.2,18.0,50412,3.5,101.1,217.1,77.2,7.6,6.9,1.195170658,6,23.6,1,9,46.3,34.0,9.2,10.5,13.5,3.4,2
1011,10138,11.81692642,11.14618268,13.76011048,14.26316828,12.56658118,13.37541921,12.02406786,6.934306569,4.113237325,26.24778063,7168,70.70428092,85,0.838429671,19,0.187413691,76,0.749654764,129,1.272440324,-38,1661,11.3,11.8,-0.5,-0.2,-3.0,24.8,39.7,22.3,13.3,42.5,68.3,29267,4.7,58.7,217.1,77.2,7.6,6.9,0.209485479,0,22.6,1,11,60.7,45.8,10.0,10.9,20.6,4.5,6
1013,19680,11.94613821,12.5050813,11.61585366,11.875,11.77845528,12.65752033,13.63313008,8.43495935,5.553861789,52.25101626,8839,44.91361789,74,0.37601626,259,1.316056911,10,0.050813008,215,1.092479675,-218,333,11.2,12.1,-0.9,0.9,-11.0,15.4,43.9,24.6,16.1,24.5,36.3,37365,4.8,74.9,217.1,77.2,7.6,6.9,0.406655577,7,25.6,1,13,58.1,41.2,10.4,11.4,18.6,4.3,6
1015,114277,11.49925182,12.80835164,13.53115675,12.13280013,12.01204092,13.41039754,12.8118519,7.857224113,3.936925191,75.27848998,24153,21.13548658,617,0.539916169,1102,0.96432353,126,0.110258407,2253,1.971525329,-387,2739,11.3,13.1,-1.8,0.6,-2.2,15.9,32.4,33.7,18.0,19.5,26.5,45400,4.7,91.0,217.1,77.2,7.6,6.9,2.361350576,24,23.5,1,15,53.6,40.9,9.1,10.2,14.7,3.6,4
1017,33615,11.50974267,11.34017552,13.02989737,11.10813625,12.13148892,14.16331995,13.36308196,8.84129109,4.51286628,57.0638108,13446,40.0,103,0.306410829,446,1.326788636,15,0.044622936,423,1.258366801,-143,458,10.6,13.7,-3.1,0.6,-1.7,18.6,38.4,29.7,13.2,18.7,30.7,39917,3.9,80.0,217.1,77.2,7.6,6.9,0.69459996,0,25.1,1,17,55.7,39.1,9.8,10.8,17.5,4.0,5
1019,26032,9.811001844,11.45129072,10.95574677,9.618930547,12.3079287,14.87784266,15.15826675,10.89044253,4.928549478,93.02781192,1109,4.260141364,172,0.660725261,88,0.338045483,8,0.030731408,438,1.682544561,217,290,8.4,13.1,-4.7,0.0,13.0,19.8,38.3,29.0,12.9,16.3,24.7,42132,3.6,84.5,217.1,77.2,7.6,6.9,0.53790945,0,29.1,1,19,55.9,39.1,10.8,12.1,15.9,3.9,6
1021,44153,12.80094218,13.17690757,12.60616493,11.85196929,12.80773673,13.43510067,12.13734061,7.551015786,3.632822232,87.10393405,4579,10.37075623,250,0.566212941,215,0.48694313,77,0.174393586,573,1.297760062,36,393,11.9,11.5,0.5,0.6,-0.1,17.8,44.1,24.0,14.2,17.3,23.3,47547,3.6,95.3,217.1,77.2,7.6,6.9,0.912350796,6,21.5,1,21,56.2,40.4,9.4,10.9,15.2,3.5,2
1023,12841,10.31072346,11.59567012,10.91815279,10.03815902,11.51000701,15.16237053,14.20450121,10.67673857,5.583677284,57.18401994,5355,41.70235963,24,0.186901332,23,0.179113776,0,0.0,96,0.747605327,-94,129,10.4,13.7,-3.3,-0.2,-3.9,18.6,38.2,30.2,13.0,22.1,32.1,39907,5.5,80.0,217.1,77.2,7.6,6.9,0.265338631,0,28.5,1,23,57.2,42.9,11.0,11.8,19.2,4.5,6
1025,23920,11.30434783,12.72993311,12.16973244,10.68979933,12.00250836,14.29347826,12.52508361,9.280936455,5.004180602,53.43227425,10674,44.62374582,126,0.526755853,104,0.434782609,5,0.02090301,230,0.961538462,-177,280,11.1,12.8,-1.7,-0.1,-5.5,18.8,43.7,24.9,12.6,22.8,31.7,40741,7.5,81.7,217.1,77.2,7.6,6.9,0.494268363,0,24.9,1,25,57.4,40.5,10.7,11.5,19.1,4.3,6
1027,13275,10.69679849,11.78154426,11.62335217,10.96045198,12.08286252,14.99811676,13.55178908,9.145009416,5.16007533,83.20903955,1868,14.07156309,72,0.542372881,32,0.241054614,0,0.0,257,1.935969868,-92,255,9.6,13.3,-3.7,-0.1,-3.2,24.5,36.3,29.1,10.2,17.6,25.8,39201,3.9,78.6,217.1,77.2,7.6,6.9,0.274306544,4,26.0,1,27,52.7,35.9,10.6,12.2,16.4,4.0,6
1029,14987,12.20391006,12.71101621,11.25642223,11.10962834,12.87782745,14.0988857,12.35070394,9.061186362,4.330419697,94.97564556,441,2.94255021,74,0.49376126,33,0.220190832,11,0.073396944,194,1.294455195,81,178,11.2,13.2,-2.1,-0.5,8.2,22.6,39.6,24.1,13.7,16.0,22.9,46495,4.2,93.2,217.1,77.2,7.6,6.9,0.309682273,0,24.7,1,29,51.5,37.1,9.9,11.5,14.4,3.6,6
1031,51909,12.72419041,13.15378836,12.15974109,12.68758789,13.28478684,12.83399796,11.47777842,7.634514246,4.043614787,75.84041303,9192,17.70791192,732,1.410160088,849,1.635554528,206,0.396848331,1562,3.0091121,132,518,12.6,10.4,2.1,0.3,0.1,13.8,27.9,34.9,23.4,13.8,21.9,55122,3.9,110.5,217.1,77.2,7.6,6.9,1.072616074,7,21.6,1,31,51.9,36.0,8.2,9.0,14.1,3.3,5
1033,54762,11.40937146,11.53719733,12.43745663,11.73076221,12.17267448,13.71023703,13.31215076,8.851028085,4.839122019,80.59968591,8875,16.20649355,363,0.662868412,323,0.589825061,41,0.074869435,1022,1.866257624,253,474,11.2,12.5,-1.4,0.1,5.9,15.6,36.0,29.7,18.7,13.8,21.0,49055,4.6,98.3,217.1,77.2,7.6,6.9,1.131568734,22,25.8,1,33,54.4,38.0,9.4,10.3,14.8,3.6,4
1035,12277,11.13464201,11.68037794,11.48489045,10.26309359,10.87399202,14.2868779,14.05880916,10.65406858,5.563248351,51.63313513,5680,46.26537428,63,0.51315468,26,0.211778122,4,0.032581249,165,1.343976542,-158,45,10.2,14.8,-4.6,0.1,-8.3,19.2,48.8,21.3,10.7,24.4,40.1,32613,5.2,65.4,217.1,77.2,7.6,6.9,0.253684477,0,28.0,1,35,59.3,43.2,11.7,12.7,20.5,4.8,6
1037,10715,8.66075595,9.547363509,10.87260849,9.594027065,12.86980868,16.33224452,16.29491367,10.61129258,5.216985534,66.88754083,3309,30.8819412,64,0.597293514,15,0.139990667,18,0.167988801,142,1.325244984,-42,248,8.4,11.4,-3.0,1.3,-2.1,20.4,38.6,29.5,11.6,18.9,30.1,42423,4.2,85.0,217.1,77.2,7.6,6.9,0.221408257,0,28.7,1,37,57.2,41.0,11.2,12.0,18.6,4.3,5
1039,36986,11.99913481,11.88828205,11.32049965,11.06905316,11.29616612,13.899854,13.61866652,9.484669875,5.423673823,84.54279998,4664,12.61017682,256,0.692153788,172,0.465040826,4,0.010814903,621,1.679013681,-92,575,11.5,14.5,-3.0,-0.1,0.6,17.1,35.4,32.5,14.9,19.9,29.5,40203,4.6,80.6,217.1,77.2,7.6,6.9,0.764256258,13,27.4,1,39,51.7,37.6,10.3,11.1,15.8,3.8,6
1041,13824,12.16724537,12.76041667,11.92853009,11.26302083,11.9212963,13.83825231,13.22337963,8.543113426,4.35474537,72.78645833,3244,23.46643519,87,0.629340278,155,1.121238426,6,0.043402778,270,1.953125,-37,132,10.2,13.1,-2.9,-0.1,0.4,21.6,38.8,24.0,15.6,19.5,30.8,39057,4.1,78.3,217.1,77.2,7.6,6.9,0.285650747,0,24.3,1,41,52.7,36.6,9.8,11.1,16.4,3.9,6
1043,83442,12.31514106,12.29117231,12.45056446,11.89568802,12.38584885,13.46324393,12.52606601,8.653915294,4.018360058,95.85700247,1116,1.337455957,539,0.645957671,561,0.67232329,72,0.086287481,1169,1.400973131,606,1049,11.8,12.5,-0.7,0.3,7.7,18.2,35.6,32.4,13.7,14.5,19.7,45796,3.3,91.8,217.1,77.2,7.6,6.9,1.724194849,12,24.1,1,43,48.6,33.4,9.2,10.8,13.7,3.4,5
1045,48956,13.04436637,12.08840592,14.32510826,12.89321023,11.61859629,12.70937168,11.74524062,7.664024839,3.911675791,73.77849498,10262,20.96167988,392,0.800719013,695,1.419642128,104,0.212435657,1384,2.827028352,-298,922,13.3,11.2,2.0,-0.7,-7.3,14.2,32.7,36.1,17.0,16.2,24.4,45309,4.2,90.8,217.1,77.2,7.6,6.9,1.011597074,6,21.3,1,45,53.7,43.4,8.6,9.6,14.4,3.4,5
1047,38310,12.44322631,13.95197076,12.40668233,11.21900287,10.8431219,13.7274863,13.34377447,7.98486035,4.079874706,27.74732446,26994,70.46202036,111,0.289741582,223,0.582093448,17,0.044374837,335,0.874445315,-925,852,11.9,13.7,-1.9,0.1,-22.1,19.3,35.2,30.4,15.1,31.4,48.0,34035,6.5,68.2,217.1,77.2,7.6,6.9,0.79161459,18,23.2,1,47,58.8,42.2,10.6,11.4,21.1,4.8,5
1049,71385,12.50823002,14.0211529,12.04734888,11.51362331,13.08958465,13.16382994,12.04034461,7.878405828,3.737479863,92.71415563,1325,1.856132241,1449,2.029838201,368,0.515514464,457,0.640190516,1602,2.244168943,-19,782,11.4,11.3,0.1,0.5,-0.8,25.9,33.3,28.1,12.7,21.3,29.6,39491,3.8,79.2,217.1,77.2,7.6,6.9,1.475056318,12,22.2,1,49,52.3,35.4,10.5,12.5,15.6,3.8,6
1051,81887,11.76621442,12.65035964,13.60777657,13.44169404,13.43680926,13.67982708,11.29727551,7.031641164,3.088402311,75.4698548,17570,21.45639723,425,0.519007901,581,0.709514331,95,0.116013531,1416,1.729212207,471,5021,11.0,10.0,1.0,0.3,4.6,13.6,32.8,29.0,24.5,11.2,16.3,60367,3.4,121.0,217.1,77.2,7.6,6.9,1.692063273,5,19.7,1,51,52.0,35.4,7.5,8.5,12.7,3.0,3
1053,36748,12.31631653,12.04691412,12.94492217,12.53401546,12.77620551,13.23337324,11.75302057,8.310656362,4.084576031,62.02242299,11639,31.67247197,1423,3.872319582,112,0.304778491,23,0.06258844,759,2.065418526,-251,2685,11.8,13.2,-1.4,0.1,-5.5,18.5,44.5,24.4,12.7,23.6,32.8,38418,4.6,77.0,217.1,77.2,7.6,6.9,0.75933837,14,23.1,1,53,53.8,37.7,10.2,11.5,17.3,4.0,6
1055,102501,11.54720442,12.13939376,12.51499985,11.56281402,12.98231237,13.39108887,13.1179208,8.596989298,4.147276612,80.77579731,16094,15.70131023,624,0.608774549,852,0.831211403,318,0.310240876,1817,1.772665633,-436,2086,11.4,14.3,-2.9,0.2,-1.5,15.5,32.9,33.9,17.7,17.5,28.8,44903,4.1,90.0,217.1,77.2,7.6,6.9,2.118018458,56,24.4,1,55,54.2,37.0,9.5,10.6,15.2,3.6,4
1057,16433,11.4282237,11.82376924,11.96373152,10.81360677,12.13412037,13.60068156,13.74064383,9.706079231,4.789143796,85.65690988,1970,11.98807278,77,0.468569342,72,0.438142762,0,0.0,238,1.448305239,-41,291,10.1,13.7,-3.5,0.2,1.0,17.6,41.5,27.9,12.9,23.5,37.4,39254,4.1,78.7,217.1,77.2,7.6,6.9,0.339561539,12,27.6,1,57,49.9,34.8,10.5,11.7,15.5,3.9,6
1059,31363,13.33418359,13.43940312,12.50199279,11.65067117,13.2034563,12.88460925,11.33182412,7.617256002,4.036603641,91.63026496,1427,4.54994739,485,1.546408188,107,0.341166343,78,0.248700698,528,1.683512419,-227,272,13.5,11.6,2.0,1.5,-10.7,23.2,36.8,27.1,12.9,19.2,30.1,39388,3.7,79.0,217.1,77.2,7.6,6.9,0.648065998,7,22.4,1,59,51.7,36.0,9.7,11.1,14.8,3.6,6
1061,26314,11.32857034,12.67766208,10.86493882,11.22216311,12.3470396,13.78353728,13.84434142,9.17382382,4.757923539,87.21973094,2491,9.466443718,270,1.026069773,90,0.342023258,19,0.07220491,493,1.8735274,-96,229,10.3,13.5,-3.2,-0.2,-0.2,20.9,37.2,30.8,11.1,21.3,29.5,37823,3.9,75.8,217.1,77.2,7.6,6.9,0.543736527,6,25.3,1,61,56.1,43.0,11.0,12.4,16.7,4.0,4
1063,8233,12.06121705,12.12194826,12.09765578,10.51864448,9.692700109,13.33657233,15.63221183,9.109680554,5.42936961,18.45013968,6597,80.12875015,27,0.3279485,22,0.267217296,0,0.0,68,0.82594437,-85,45,12.0,11.8,0.1,0.1,-10.4,24.1,36.8,29.0,10.1,30.1,44.0,28524,6.7,57.2,217.1,77.2,7.6,6.9,0.170121716,0,27.6,1,63,62.4,45.6,12.5,13.4,25.6,5.8,6
1065,14726,12.82086106,12.67146544,12.79369822,11.02132283,10.8719272,13.73081624,13.14681516,8.15564308,4.787450767,40.66277333,8561,58.13527095,37,0.251256281,42,0.285209833,2,0.013581421,96,0.65190819,-83,221,12.6,14.0,-1.4,0.0,-4.1,16.4,42.6,26.9,14.1,25.6,35.6,34724,5.1,69.6,217.1,77.2,7.6,6.9,0.304289127,0,26.3,1,65,57.9,45.6,10.5,11.4,20.0,4.6,4
1067,17209,10.69789064,11.91237143,10.52937416,11.12208728,12.53413911,13.05712127,14.92242431,10.07612296,5.148468824,71.35801034,4523,26.28275902,85,0.493927596,64,0.371898425,4,0.023243652,253,1.470160962,69,199,10.6,12.7,-2.1,0.1,6.1,19.8,33.5,28.7,18.0,17.9,27.2,46027,4.4,92.3,217.1,77.2,7.6,6.9,0.355596332,0,28.3,1,67,52.3,36.0,10.1,11.0,16.6,4.0,4
1069,104722,12.29732052,12.88458968,12.23620634,12.70220202,12.39090163,13.29138099,12.06718741,7.981130994,4.149080422,69.06285212,28491,27.20631768,566,0.540478601,1110,1.059949199,99,0.09453601,2132,2.035866389,349,1416,12.2,11.3,0.9,0.4,2.1,14.3,31.6,33.0,21.0,16.5,21.9,47993,4.0,96.2,217.1,77.2,7.6,6.9,2.163911854,66,22.5,1,69,52.0,34.9,9.1,9.9,16.1,3.6,4
1071,51736,10.8860368,12.09602598,11.5277563,10.89376836,13.00061852,13.92647286,13.93227153,9.389979898,4.347069739,91.26140405,1855,3.585511056,870,1.68161435,303,0.585665687,57,0.110174733,1436,2.775630122,-171,597,11.0,13.1,-2.1,0.2,-1.3,17.5,40.8,27.5,14.2,19.7,26.8,41929,4.1,84.1,217.1,77.2,7.6,6.9,1.069041307,10,25.7,1,71,52.2,36.9,10.8,12.2,15.4,3.9,5
1073,659300,12.7204611,12.56226301,13.93220082,13.58865463,12.167602,12.70574852,11.92507205,6.522675565,3.875322312,53.15592295,286501,43.45533141,1892,0.28697103,11676,1.77096921,376,0.057030184,8398,1.273775216,-246,16694,12.8,11.1,1.7,0.7,-2.7,10.3,26.8,30.6,32.4,16.1,22.6,55013,3.7,110.3,217.1,77.2,7.6,6.9,13.62337508,471,21.0,1,73,45.9,34.5,7.6,8.1,13.5,3.4,1
1075,13844,10.82057209,12.60473851,10.56775498,10.62554175,12.73475874,13.74602716,13.37041318,10.0982375,5.431956082,87.2869113,1466,10.58942502,40,0.288933834,14,0.101126842,2,0.014446692,238,1.719156313,-58,217,9.7,14.1,-4.3,-0.1,0.3,17.6,39.9,30.0,12.5,17.4,25.3,40936,3.8,82.1,217.1,77.2,7.6,6.9,0.286064014,0,27.2,1,75,54.4,36.3,11.1,12.4,16.8,4.1,6
1077,92387,10.35860024,12.2755366,14.69146092,11.05566801,11.42260275,13.18259062,13.14037689,9.103012329,4.770151645,86.97976988,9298,10.06418652,417,0.451362205,708,0.766341585,52,0.056284975,1554,1.682054835,-204,2086,9.4,12.1,-2.7,0.3,0.2,12.6,36.0,27.5,23.9,14.0,17.9,48707,4.2,97.6,217.1,77.2,7.6,6.9,1.9090289,48,25.3,1,77,46.7,34.4,8.6,9.4,13.2,3.3,4
1079,32957,11.43004521,12.19164366,11.88214947,11.06290014,12.57699427,15.21376339,12.92896805,8.890372303,3.823163516,78.19886519,3606,10.94152987,1913,5.80453318,77,0.23363777,7,0.021239797,1582,4.800194192,-120,229,10.8,12.4,-1.6,-0.1,-1.8,21.0,41.5,25.8,11.7,19.3,31.4,43909,4.2,88.0,217.1,77.2,7.6,6.9,0.681003447,6,23.2,1,79,46.3,36.0,9.8,11.4,15.3,3.7,4
1081,163941,11.69933086,14.27220768,21.09417412,12.7655681,11.81217633,11.43826133,9.213680531,5.318376733,2.386224312,70.56807022,37852,23.08879414,611,0.372695055,6876,4.194191813,148,0.09027638,2764,1.685972393,2300,4958,11.5,6.8,4.6,2.1,7.4,9.5,24.1,32.3,34.1,19.0,19.3,48937,3.6,98.1,217.1,77.2,7.6,6.9,3.387577332,28,15.7,1,81,42.7,32.1,6.3,7.2,11.2,2.8,4
1083,96174,11.812964,12.88809865,11.82232204,13.52132593,13.92996028,14.7056377,11.16829912,6.935346351,3.216045917,81.16122861,13320,13.84989706,795,0.826626739,1535,1.596065465,185,0.192359681,2283,2.373822447,2098,2696,10.5,8.9,1.6,0.4,20.0,15.7,30.3,28.5,25.5,11.4,15.8,64863,3.5,130.0,217.1,77.2,7.6,6.9,1.98728117,10,20.1,1,83,49.1,33.4,7.8,8.9,13.1,3.1,3
1085,9974,12.79326248,11.67034289,12.89352316,10.96851815,10.8582314,14.62803289,13.14417485,8.682574694,4.361339483,25.9173852,7236,72.54862643,37,0.370964508,44,0.441146982,4,0.040104271,68,0.681772609,-130,96,11.9,13.7,-1.9,-0.2,-11.0,22.5,38.6,24.8,14.1,25.1,39.6,33973,7.3,68.1,217.1,77.2,7.6,6.9,0.206096683,0,23.9,1,85,61.7,45.8,11.0,12.1,22.3,5.0,3
1087,18439,9.187049189,13.59618201,18.63983947,9.062313574,9.65887521,12.77184229,13.78057378,8.758609469,4.544715006,16.9640436,14886,80.73105917,49,0.265741092,112,0.607408211,3,0.016269863,261,1.415478063,-372,1723,9.2,13.0,-3.8,-0.1,-16.1,18.3,30.1,30.9,20.7,30.2,39.7,32495,5.5,65.1,217.1,77.2,7.6,6.9,0.381012306,0,25.1,1,87,57.9,46.0,9.3,9.7,19.8,4.6,6
1089,366519,11.75327882,12.80206483,13.90350841,13.19495033,12.12679288,14.86280384,11.1538556,6.58929005,3.613455237,68.84718118,91273,24.90266535,2968,0.809780666,9815,2.677896644,422,0.115137278,9703,2.647338883,4854,8320,11.4,8.8,2.6,1.5,9.3,8.9,20.8,28.6,41.7,11.9,16.9,63755,3.5,127.8,217.1,77.2,7.6,6.9,7.573526183,100,19.8,1,89,44.6,33.1,7.1,7.1,12.2,3.0,3
1091,19066,12.39903493,12.48295395,12.23119689,10.88324767,11.85356131,13.48473723,12.98122312,8.617434176,5.066610721,46.88450645,9795,51.37417392,46,0.241267177,58,0.304206441,35,0.183572852,193,1.012273156,-300,254,12.0,14.4,-2.4,0.1,-13.3,16.2,39.8,28.6,15.4,24.0,34.5,37733,5.0,75.6,217.1,77.2,7.6,6.9,0.393968253,5,26.0,1,91,57.3,44.6,10.2,11.1,19.0,4.4,6
1093,29763,10.85912038,12.03507711,11.34294258,10.99687531,12.45842153,14.36347142,12.88176595,9.767160568,5.295165138,94.02949971,1154,3.877297315,126,0.423344421,97,0.325908007,19,0.063837651,381,1.280112892,-8,750,9.6,13.6,-3.9,0.0,3.7,20.3,34.8,31.7,13.1,20.2,27.4,37887,4.1,76.0,217.1,77.2,7.6,6.9,0.615004569,4,27.3,1,93,52.1,35.0,10.6,12.0,15.1,3.8,6
1095,96109,13.7364867,13.44827227,12.23610692,11.8771395,12.22570207,13.12884329,11.60245138,7.933700278,3.811297589,93.00273648,2906,3.02365023,1078,1.121643134,705,0.733542124,261,0.271566659,1775,1.846861376,500,1046,14.2,11.8,2.4,0.4,2.4,19.1,31.1,30.5,19.2,18.3,27.9,46233,3.4,92.7,217.1,77.2,7.6,6.9,1.98593805,20,22.7,1,95,54.1,38.9,9.7,11.1,14.5,3.6,5
1097,413757,12.90781787,12.94503779,13.86997682,12.82008522,11.74650822,13.01899424,11.89442112,7.174500975,3.622657744,59.20069026,149329,36.09099061,3885,0.938956924,8548,2.065946921,179,0.043262108,6869,1.660153182,-758,7277,12.9,10.9,2.0,1.4,-5.2,13.8,33.5,29.8,22.9,20.8,31.4,43598,4.7,87.4,217.1,77.2,7.6,6.9,8.549623548,157,21.3,1,97,48.9,36.9,8.8,9.1,14.4,3.5,3
1099,21067,10.90805525,13.17700669,11.83842028,10.16281388,11.8953814,14.33046945,13.71339061,8.985617316,4.988845113,55.11938102,8686,41.23036028,283,1.343333175,99,0.469929273,9,0.042720843,378,1.794275407,-235,230,9.6,13.4,-3.7,-0.1,-7.3,16.3,46.1,23.5,14.1,21.9,31.6,39556,6.2,79.3,217.1,77.2,7.6,6.9,0.435315703,8,25.5,1,99,56.8,42.1,11.1,12.2,19.6,4.5,6
1101,225763,13.17044866,12.98751345,14.74643764,13.42248287,11.95280006,12.42719135,11.34729783,6.352236638,3.59359151,35.94255923,133229,59.01277003,760,0.336636207,7203,3.190513946,215,0.095232611,3211,1.422287975,-1316,9120,13.5,9.7,3.8,1.1,-10.7,14.4,25.5,28.0,32.1,20.1,31.3,49640,4.0,99.5,217.1,77.2,7.6,6.9,4.665029621,88,19.5,1,101,51.7,36.6,8.1,8.4,15.9,3.6,3
1103,119089,12.20179865,12.82906062,12.06576594,12.00698637,12.5998203,14.23809084,12.19760011,7.873103309,3.98777385,82.78766301,15539,13.04822444,1311,1.100857342,836,0.701995986,182,0.152826877,2630,2.208432349,278,1998,11.9,11.2,0.6,0.7,1.1,16.7,29.6,32.0,21.7,13.2,20.1,52797,3.5,105.8,217.1,77.2,7.6,6.9,2.460782823,34,22.4,1,103,49.2,37.4,8.7,9.7,13.7,3.4,4
1105,9140,11.29102845,15.87527352,14.72647702,9.814004376,10.50328228,11.44420131,12.37417943,8.796498906,5.175054705,30.53610503,6205,67.88840263,24,0.262582057,55,0.601750547,4,0.043763676,61,0.667396061,-179,783,11.6,14.2,-2.6,-0.1,-16.8,21.9,39.4,22.9,15.7,35.3,52.8,26814,6.5,53.8,217.1,77.2,7.6,6.9,0.188863413,0,23.5,1,105,61.6,44.1,11.7,12.9,22.7,5.3,6
1107,19938,10.56776006,11.34015448,13.05045641,12.65924366,11.89186478,14.66044739,12.87992778,8.380981041,4.56916441,57.82927074,8019,40.21968101,48,0.240746314,67,0.336041729,67,0.336041729,207,1.038218477,-244,1776,10.7,11.0,-0.3,0.1,-12.1,19.4,36.7,30.4,13.5,23.1,30.8,37586,4.6,75.4,217.1,77.2,7.6,6.9,0.411986732,4,24.7,1,107,56.0,41.9,10.1,11.1,18.0,4.2,4
1109,33338,10.73849661,13.96004559,24.3985842,10.00659908,9.832623433,10.56152139,10.0485932,6.836042954,3.617493551,57.48095267,12562,37.6807247,236,0.707900894,710,2.129701842,30,0.089987402,637,1.910732497,-97,2241,10.3,10.3,0.0,3.0,-5.9,19.0,33.3,24.2,23.6,23.6,30.6,37259,4.5,74.7,217.1,77.2,7.6,6.9,0.6888762,9,19.3,1,109,51.0,37.6,7.6,8.6,13.4,3.3,5
1111,22725,11.57315732,12.60286029,11.68316832,10.19581958,11.7579758,14.4290429,13.75577558,9.280528053,4.721672167,77.83938394,4428,19.48514851,107,0.470847085,89,0.391639164,26,0.114411441,386,1.698569857,42,400,10.9,13.7,-2.8,-0.2,4.9,21.2,36.3,27.5,14.9,19.7,31.4,40546,4.0,81.3,217.1,77.2,7.6,6.9,0.469575609,0,27.2,1,111,54.8,36.1,10.1,11.3,16.1,3.8,6
1113,57781,13.8263443,12.57160658,14.30054862,13.5027085,12.17009051,13.2050328,10.95861962,6.327339437,3.137709628,49.95586785,26397,45.68456759,359,0.621311504,507,0.877451065,162,0.280368979,1491,2.580433014,753,574,13.2,11.4,1.8,-0.6,11.9,16.7,32.3,34.5,16.5,21.7,31.6,39104,4.0,78.4,217.1,77.2,7.6,6.9,1.193951518,8,18.3,1,113,51.1,38.3,8.2,9.4,15.6,3.6,3
1115,88690,12.27308603,12.39824106,11.76457323,13.13789604,13.35889052,13.9406923,12.07576953,7.680685534,3.370165746,87.76524975,8384,9.453151426,319,0.359679784,790,0.890743038,67,0.07554403,1291,1.455631977,714,1562,11.5,10.9,0.7,0.4,7.0,15.2,36.0,32.3,16.5,12.0,15.0,57284,3.5,114.8,217.1,77.2,7.6,6.9,1.832636336,6,21.8,1,115,53.1,38.0,8.3,9.8,13.0,3.2,2
